sample,year,cumulative_progress,progress_rate,bottleneck_stage
11,2039.0,50.14845040463383,4.206523092186951,8.0
11,2040.0,54.39182543718678,4.243375032552957,8.0
11,2041.0,58.6637883303554,4.27196289316862,8.0
11,2042.0,62.957691917734714,4.29390358737931,8.0
11,2043.0,67.26825318965766,4.310561271922944,8.0
11,2044.0,71.59132182980595,4.3230686401482865,8.0
11,2045.0,75.92367447366455,4.332352643858603,8.0
11,2046.0,80.26283624823009,4.339161774565547,8.0
11,2047.0,84.60692910823329,4.3440928600031965,8.0
11,2048.0,88.95454516479693,4.347616056563642,8.0
11,2049.0,93.30464246888688,4.350097304089961,8.0
11,2050.0,97.656460413853,4.351817944966118,8.0
12,2024.0,1.0,1.0,7.0
12,2025.0,2.3142444964176825,1.3142444964176823,7.0
12,2026.0,3.935600630666824,1.6213561342491416,7.0
12,2027.0,5.854332783381683,1.9187321527148593,7.0
12,2028.0,8.058465319594243,2.204132536212559,7.0
12,2029.0,10.534157246373589,2.475691926779347,7.0
12,2030.0,13.26608042739836,2.7319231810247713,7.0
12,2031.0,16.237793143123803,2.971712715725441,7.0
12,2032.0,19.432101200333367,3.1943080572095646,7.0
12,2033.0,22.831399464470586,3.39929826413722,7.0
12,2034.0,26.417987583142256,3.5865881186716724,7.0
12,2035.0,30.17435474919085,3.756367166048595,7.0
12,2036.0,34.017120628768005,3.842765879577151,8.0
12,2037.0,37.91789807646298,3.9007774476949755,8.0
12,2038.0,41.864936950829936,3.9470388743669544,8.0
12,2039.0,45.848490074879244,3.9835531240493056,8.0
12,2040.0,49.86056808637634,4.012078011497093,8.0
12,2041.0,53.89470083265604,4.034132746279699,8.0
12,2042.0,57.94571137283181,4.051010540175766,8.0
12,2043.0,62.009507146721006,4.063795773889199,8.0
12,2044.0,66.08289138355791,4.073384236836896,8.0
12,2045.0,70.16339643737197,4.080505053814071,8.0
12,2046.0,74.24913951464649,4.085743077274512,8.0
12,2047.0,78.33870024775368,4.089560733107186,8.0
12,2048.0,82.43101878755877,4.0923185398050945,8.0
12,2049.0,86.5253125433078,4.094293755749036,8.0
12,2050.0,90.62100937312077,4.095696829812961,8.0
13,2024.0,1.0,1.0,8.0
13,2025.0,2.4030740306254534,1.4030740306254532,8.0
13,2026.0,4.1096517516235265,1.7065777209980733,7.0
13,2027.0,6.077279860848407,1.9676281092248804,7.0
13,2028.0,8.279839779898293,2.2025599190498863,7.0
13,2029.0,10.692066372927066,2.4122265930287727,7.0
13,2030.0,13.289791568438472,2.5977251955114062,7.0
13,2031.0,16.050156144960244,2.760364576521772,7.0
13,2032.0,18.95178476471001,2.9016286197497636,7.0
13,2033.0,21.97492073163203,3.0231359669220184,7.0
13,2034.0,25.101518512431483,3.1265977807994556,7.0
13,2035.0,28.31529370583838,3.2137751934068977,7.0
13,2036.0,31.60173178224515,3.286438076406772,7.0
13,2037.0,34.948058447596075,3.346326665350928,7.0
13,2038.0,38.32230392995155,3.374245482355479,8.0
13,2039.0,41.71645096999461,3.394147040043061,8.0
13,2040.0,45.125082114224355,3.408631144229743,8.0
13,2041.0,48.54411880422259,3.419036689998234,8.0
13,2042.0,51.97053749305645,3.4264186888338544,8.0
13,2043.0,55.40212969462986,3.4315922015734137,8.0
13,2044.0,58.837304861016236,3.435175166386369,8.0
13,2045.0,62.274932682665934,3.4376278216496967,8.0
13,2046.0,65.71422000235317,3.4392873196872356,8.0
13,2047.0,69.15461690859343,3.4403969062402546,8.0
13,2048.0,72.59574656040552,3.4411296518120924,8.0
13,2049.0,76.03735370698257,3.4416071465770552,8.0
13,2050.0,79.479267526461,3.4419138194784242,8.0
14,2024.0,1.0,1.0,7.0
14,2025.0,2.2263752317141012,1.2263752317141012,7.0
14,2026.0,3.676388535890646,1.4500133041765446,7.0
14,2027.0,5.344654994032955,1.668266458142309,7.0
14,2028.0,7.2234996766724855,1.878844682639531,7.0
14,2029.0,9.303330027239081,2.079830350566596,7.0
14,2030.0,11.573013172726569,2.269683145487487,7.0
14,2031.0,14.020248658785878,2.4472354860593084,7.0
14,2032.0,16.63192767431144,2.6116790155255654,7.0
14,2033.0,19.394470730191248,2.7625430558798065,7.0
14,2034.0,22.294136940731455,2.899666210540209,7.0
14,2035.0,25.317299460139523,3.0231625194080665,7.0
